프로골퍼	프로/NNG + 골퍼/NNG
48kg까지	48/SN + kg/SL + 까지/JX
빠져서	빠지/VV + 어서/EC
걱정했었다"고	걱정/NNG + 하/XSV + 았었/EP + 다/EF + "/SS + 고/JKQ
귀띔했다.	귀띔/NNG + 하/XSV + 았/EP + 다/EF + ./SF

아버지는	아버지/NNG + 는/JX
"너무	"/SS + 너무/MAG
지쳐보이기에	지치/VV + 어/EC + 보이/VV + 기/ETN + 에/JKB
한약이라고	한약/NNG + 이/VCP + 라고/EC
속이고	속이/VV + 고/EC
뱀까지	뱀/NNG + 까지/JX
고아	고/VV + 아/EC
먹였다"고	먹/VV + 았/EP + 다/EF + "/SS + 고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

한때	한때/NNG
비거리를	비거리/NNG + 를/JKO
늘리기	늘리/VV + 기/ETN
위해	위하/VV + 아/EC
일부러	일부러/MAG
체중을	체중/NNG + 을/JKO
불려	불리/VV + 어/EC
62kg에	62/SN + kg/SL + 에/JKB
육박했던	육박/NNG + 하/XSV + 았/EP + 던/ETM
김미현인데….	김미현/NNP + 이/VCP + ㄴ데/EC + …/SE + ./SF

14kg의	14/SN + kg/SL + 의/JKG
체중	체중/NNG
감소는	감소/NNG + 는/JX
지난해	지난해/NNG
그녀가	그녀/NP + 가/JKS
얼마나	얼마나/MAG
고생을	고생/NNG + 을/JKO
했는지	하/VV + 았/EP + 는지/EC
짐작케	짐작/NNG + 하/XSV + 게/EC
한다.	하/VV + ㄴ다/EF + ./SF

김미현은	김미현/NNP + 은/JX
지난해	지난해/NNG
미LPGA투어	미/NNP + LPGA/SL + 투어/NNG
선수	선수/NNG
중	중/NNB
최다	최다/NNG
라운드를	라운드/NNG + 를/JKO
기록했다.	기록/NNG + 하/XSV + 았/EP + 다/EF + ./SF

28개	28/SN + 개/NNB
대회에서	대회/NNG + 에서/JKB
무려	무려/MAG
98라운드를	98/SN + 라운드/NNG + 를/JKO
소화했다.	소화/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그야말로	그야말로/MAG
'무쇠	'/SS + 무쇠/NNG
체력'을	체력/NNG + '/SS + 을/JKO
선보이며	선보이/VV + 며/EC
2승에	2/SN + 승/NNB + 에/JKB
상금랭킹도	상금/NNG + 랭킹/NNG + 도/JX
4위(104만9933달러)에	4/SN + 위/NNB + (/SS + 104/SN + 만/NR + 9933/SN + 달러/NNB + )/SS + 에/JKB
올라	오르/VV + 아/EC
'작은	'/SS + 작/VA + 은/ETM
고추'의	고추/NNG + '/SS + 의/JKG
맛을	맛/NNG + 을/JKO
보여줬다.	보이/VV + 어/EC + 주/VX + 었/EP + 다/EF + ./SF

김미현은	김미현/NNP + 은/JX
"올해는	"/SS + 올해/NNG + 는/JX
좀	좀/MAG
쉬엄쉬엄	쉬엄쉬엄/MAG
컨디션	컨디션/NNG
조절을	조절/NNG + 을/JKO
해가면서	하/VV + 아/EC + 가/VX + 면서/EC
경기에	경기/NNG + 에/JKB
나갈	나가/VV + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

'골프선수'	'/SS + 골프/NNG + 선수/NNG + '/SS
김미현은	김미현/NNP + 은/JX
살	살/NNG
빠진	빠지/VV + ㄴ/ETM
게	것/NNB + 이/JKS
걱정이라면서도	걱정/NNG + 이/VCP + 라면서/EC + 도/JX
"솔직히	"/SS + 솔직히/MAG
날씬해지니까	날씬/XR + 하/XSA + 아/EC + 지/VX + 니까/EC
옷을	옷/NNG + 을/JKO
골라	고르/VV + 아/EC
입는	입/VV + 는/ETM
재미가	재미/NNG + 가/JKS
더	더/MAG
늘었다"고	늘/VV + 었/EP + 다/EF + "/SS + 고/JKQ
털어놓았다.	털어놓/VV + 았/EP + 다/EF + ./SF

디자이너	디자이너/NNG
김영주씨에게	김영주/NNP + 씨/NNB + 에게/JKB
"블루와	"/SS + 블루/NNG + 와/JC
핑크	핑크/NNG
계열의	계열/NNG + 의/JKG
옷으로,	옷/NNG + 으로/JKB + ,/SP
몸에	몸/NNG + 에/JKB
살짝	살짝/MAG
달라붙게	달라붙/VV + 게/EC
만들어	만들/VV + 어/EC
달라"고	달/VX + 라/EC + "/SS + 고/JKQ
부탁했다.	부탁/NNG + 하/XSV + 았/EP + 다/EF + ./SF

여성스럽게	여성/NNG + 스럽/XSA + 게/EC
해달라는	하/VV + 아/EC + 달/VX + 라는/ETM
얘기였다.	얘기/NNG + 이/VCP + 었/EP + 다/EF + ./SF

"파란색과	"/SS + 파란색/NNG + 과/JC
분홍색을	분홍색/NNG + 을/JKO
제일	제/XPN + 일/NR
좋아하느냐"고	좋아하/VV + 느냐/EC + "/SS + 고/JKQ
물었더니,	묻/VV + 었/EP + 더니/EC + ,/SP
"사실은	"/SS + 사실/NNG + 은/JX
흰색을	흰색/NNG + 을/JKO
제일	제/XPN + 일/NR
좋아한다"고	좋아하/VV + ㄴ다/EC + "/SS + 고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

"방송	"/SS + 방송/NNG
중계나	중계/NNG + 나/JC
사진에	사진/NNG + 에/JKB
흰색보다는	흰색/NNG + 보다/JKB + 는/JX
파란색과	파란색/NNG + 과/JC
분홍색이	분홍색/NNG + 이/JKS
예쁘게	예쁘/VA + 게/EC
나오기	나오/VV + 기/ETN
때문"이란다.	때문/NNB + "/SS + 이/VCP + 란다/EF + ./SF

'프로'다운	'/SS + 프로/NNG + '/SS + 답/XSA + ㄴ/ETM
생각이었다.	생각/NNG + 이/VCP + 었/EP + 다/EF + ./SF

"시간있을	"/SS + 시간/NNG + 있/VV + 을/ETM
때	때/NNG
데이트나	데이트/NNG + 나/JX
하지	하/VV + 지/EC
그랬느냐"고	그러/VV + 었/EP + 느냐/EC + "/SS + 고/JKQ
눙쳤더니	눙치/VV + 었/EP + 더니/EC
"명예의	"/SS + 명예/NNG + 의/JKG
전당에	전당/NNG + 에/JKB
들어간	들어가/VV + ㄴ/ETM
뒤에나	뒤/NNG + 에/JKB + 나/JX
가능할	가능/NNG + 하/XSA + ㄹ/ETM
것	것/NNB
같다"며	같/VA + 다/EC + "/SS + 며/EC
한숨을	한숨/NNG + 을/JKO
내쉬었다.좋아하는	내쉬/VV + 었/EP + 다/EF + ./SF + 좋아하/VV + 는/ETM

남성상은	남성/NNG + 상/NNG + 은/JX
"최근	"/SS + 최근/NNG
끝난	끝나/VV + ㄴ/ETM
TV드라마	TV/SL + 드라마/NNG
'별을	'/SS + 별/NNG + 을/JKO
쏘다'의	쏘/VV + 다/EC + '/SS + 의/JKG
남자주인공	남자/NNG + 주인공/NNG
조인성	조인성/NNP
같은	같/VA + 은/ETM
사람"이라고	사람/NNG + "/SS + 이라고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

"한	"/SS + 한/MM
여자만	여자/NNG + 만/JX
바라보는	바라보/VV + 는/ETM
스타일"이	스타일/NNG + "/SS + 이/JKS
마음에	마음/NNG + 에/JKB
든다고	들/VV + ㄴ다고/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

'꼬마	'/SS + 꼬마/NNG
아가씨'에서	아가씨/NNG + '/SS + 에서/JKB
'성숙한	'/SS + 성숙/NNG + 하/XSV + ㄴ/ETM
여인'으로	여인/NNG + '/SS + 으로/JKB
변하고	변하/VV + 고/EC
있지만,	있/VX + 지만/EC + ,/SP
김미현의	김미현/NNP + 의/JKG
취향은	취향/NNG + 은/JX
아직도	아직/MAG + 도/JX
'10대'	'/SS + 10/SN + 대/NNB + '/SS
같다.	같/VA + 다/EF + ./SF

집에	집/NNG + 에/JKB
있는	있/VV + 는/ETM
인형만	인형/NNG + 만/JX
50개가	50/SN + 개/NNB + 가/JKS
넘는다.	넘/VV + 는다/EF + ./SF

요즘은	요즘/NNG + 은/JX
커다란	커다랗/VA + ㄴ/ETM
강아지	강아지/NNG
인형을	인형/NNG + 을/JKO
안고	안/VV + 고/EC
잔다고	자/VV + ㄴ다고/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

지난달	지난달/NNG
팬	팬/NNG
클럽인	클럽/NNG + 이/VCP + ㄴ/ETM
'땅콩마을'(www.mihyunworld.com)	'/SS + 땅콩/NNG + 마을/NNG + '/SS + (/SS + www/SL + ./SP + mihyunworld/SL + ./SP + com/SL + )/SS
회원들과	회원/NNG + 들/XSN + 과/JKB
만난	만나/VV + ㄴ/ETM
자리에서	자리/NNG + 에서/JKB
선물받은	선물/NNG + 받/VV + 은/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

김미현은	김미현/NNP + 은/JX
"이젠	"/SS + 이제/NNG + ㄴ/JX
시집	시집/NNG
간	가/VV + ㄴ/ETM
'아줌마'	'/SS + 아줌마/NNG + '/SS
친구들이	친구/NNG + 들/XSN + 이/JKS
더	더/MAG
많아져서	많/VA + 아/EC + 지/VX + 어서/EC
만나서	만나/VV + 아서/EC
수다	수다/NNG
떨	떨/VV + ㄹ/ETM
기회도	기회/NNG + 도/JX
줄었다"며	줄/VV + 었/EP + 다/EF + "/SS + 며/EC
"미국	"/SS + 미국/NNP
무대에서	무대/NNG + 에서/JKB
좋은	좋/VA + 은/ETM
소식을	소식/NNG + 을/JKO
올려	올리/VV + 어/EC
인사를	인사/NNG + 를/JKO
대신해야겠다"고	대신/NNG + 하/XSV + 아야/EC + 하/VX + 겠/EP + 다/EF + "/SS + 고/JKQ
했다.	하/VV + 았/EP + 다/EF + ./SF

시즌	시즌/NNG
개막까지	개막/NNG + 까지/JX
김미현은	김미현/NNP + 은/JX
올랜도	올랜도/NNP
인근	인근/NNG
델라비스타CC의	델라비스타/NNP + CC/SL + 의/JKG
별장형	별장/NNG + 형/XSN
주택에	주택/NNG + 에/JKB
베이스캠프를	베이스캠프/NNG + 를/JKO
차린다.	차리/VV + ㄴ다/EF + ./SF

골프장	골프장/NNG
주인인	주인/NNG + 이/VCP + ㄴ/ETM
김형각	김형각/NNP
사장은	사장/NNG + 은/JX
집	집/NNG
앞의	앞/NNG + 의/JKG
'자몽나무'에	'/SS + 자몽/NNG + 나무/NNG + '/SS + 에/JKB
'김미현나무'라고	'/SS + 김미현/NNP + 나무/NNG + '/SS + 라고/JKQ
이름을	이름/NNG + 을/JKO
붙여줬다고	붙이/VV + 어/EC + 주/VX + 었/EP + 다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

"엄청나게	"/SS + 엄청나/VA + 게/EC
맛있는	맛있/VA + 는/ETM
자몽(그레이프	자몽/NNG + (/SS + 그레이프/NNG
프루트)이	프루트/NNG + )/SS + 이/JKS
열리는데	열리/VV + 는데/EC
골프장	골프장/NNG
회원들도	회원/NNG + 들/XSN + 도/JX
저만	저/NP + 만/JX
먹으라고	먹/VV + 으라고/EC
손을	손/NNG + 을/JKO
안	안/MAG
대요."	대/VV + 요/EF + ./SF + "/SS

남자부	남자/NNG + 부/NNB
이형택에	이형택/NNP + 에/JKB
이어	잇/VV + 어/EC
여자부	여자부/NNG
조윤정(24·삼성증권·세계64위)도	조윤정/NNP + (/SS + 24/SN + ·/SP + 삼성증권/NNP + ·/SP + 세계/NNG + 64/SN + 위/NNB + )/SS + 도/JX
호주오픈	호주/NNP + 오픈/NNG
테니스대회	테니스/NNG + 대회/NNG
2회전에	2/SN + 회전/NNB + 에/JKB
진출,	진출/NNG + ,/SP
멜버른의	멜버른/NNP + 의/JKG
황색돌풍을	황색/NNG + 돌풍/NNG + 을/JKO
예고했다.	예고/NNG + 하/XSV + 았/EP + 다/EF + ./SF

조윤정은	조윤정/NNP + 은/JX
14일	14/SN + 일/NNB
멜버른에서	멜버른/NNP + 에서/JKB
벌어진	벌어지/VV + ㄴ/ETM
대회	대회/NNG
여자단식	여자/NNG + 단식/NNG
1회전	1/SN + 회전/NNB
경기에서	경기/NNG + 에서/JKB
이바	이바/NNP
디어베르그(덴마크·101위)를	디어베르그/NNP + (/SS + 덴마크/NNP + ·/SP + 101/SN + 위/NNB + )/SS + 를/JKO
2대0(6-3,	2/SN + 대/NNB + 0/SN + (/SS + 6/SN + -/SS + 3/SN + ,/SP
6-3)으로	6/SN + -/SS + 3/SN + )/SS + 으로/JKB
간단히	간단히/MAG
물리쳤다.	물리치/VV + 었/EP + 다/EF + ./SF

한국	한국/NNP
남녀선수가	남녀/NNG + 선수/NNG + 가/JKS
그랜드슬램	그랜드슬램/NNG
2회전에	2/SN + 회전/NNB + 에/JKB
동반	동반/NNG
진출한	진출/NNG + 하/XSV + ㄴ/ETM
것은	것/NNB + 은/JX
처음이다.	처음/NNG + 이/VCP + 다/EF + ./SF

조윤정은	조윤정/NNP + 은/JX
압도적인	압도/NNG + 적/XSN + 이/VCP + ㄴ/ETM
경기력으로	경기력/NNG + 으로/JKB
완승을	완승/NNG + 을/JKO
거뒀다.	거두/VV + 었/EP + 다/EF + ./SF

첫	첫/MM
세트를	세트/NNG + 를/JKO
6-3으로	6/SN + -/SS + 3/SN + 으로/JKB
따낸	따/VV + 아/EC + 내/VX + ㄴ/ETM
조윤정은	조윤정/NNP + 은/JX
두	두/MM
번째	번/NNB + 째/XSN
세트에서	세트/NNG + 에서/JKB
0-2로	0/SN + -/SS + 2/SN + 로/JKB
끌려갔지만	끌려가/VV + 았/EP + 지만/EC
이후	이후/NNG
5게임을	5/SN + 게임/NNG + 을/JKO
잇달아	잇달/VV + 아/EC
빼앗아	빼앗/VV + 아/EC
승부를	승부/NNG + 를/JKO
결정했다.	결정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

조윤정은	조윤정/NNP + 은/JX
서비스	서비스/NNG
최고	최고/NNG
속도가	속도/NNG + 가/JKS
143km에	143/SN + km/SL + 에/JKB
그쳐	그치/VV + 어/EC
디어베르그(최고	디어베르그/NNP + (/SS + 최고/NNG
172km)에게	172/SN + km/SL + )/SS + 에게/JKB
밀렸지만	밀리/VV + 었/EP + 지만/EC
탄탄한	탄탄/XR + 하/XSA + ㄴ/ETM
스트로크와	스트로크/NNG + 와/JC
노련한	노련/XR + 하/XSA + ㄴ/ETM
경기운영력으로	경기/NNG + 운영력/NNG + 으로/JKB
상대를	상대/NNG + 를/JKO
눌렀다.	누르/VV + 었/EP + 다/EF + ./SF

조윤정의	조윤정/NNP + 의/JKG
범실은	범실/NNG + 은/JX
13개로	13/SN + 개/NNB + 로/JKB
상대방(24개)보다	상대방/NNG + (/SS + 24/SN + 개/NNB + )/SS + 보다/JKB
훨씬	훨씬/MAG
적었다.	적/VA + 었/EP + 다/EF + ./SF

2회전	2/SN + 회전/NNB
상대는	상대/NNG + 는/JX
불가리아	불가리아/NNP
출신의	출신/NNG + 의/JKG
세계	세계/NNG
14위인	14/SN + 위/NNB + 이/VCP + ㄴ/ETM
막달레나	막달레나/NNP
말리바다.	말리바/NNP + 이/VCP + 다/EF + ./SF

조윤정은	조윤정/NNP + 은/JX
"긴장을	"/SS + 긴장/NNG + 을/JKO
해서	하/VV + 아서/EC
처음엔	처음/NNG + 에/JKB + ㄴ/JX
몸이	몸/NNG + 이/JKS
마음대로	마음대로/MAG
움직이지	움직이/VV + 지/EC
않았다"면서	않/VX + 았/EP + 다/EC + "/SS + 면서/EC
"말리바는	"/SS + 말리바/NNP + 는/JX
공이	공/NNG + 이/JKS
정확한	정확/NNG + 하/XSA + ㄴ/ETM
선수이기	선수/NNG + 이/VCP + 기/ETN
때문에	때문/NNB + 에/JKB
많이	많이/MAG
뛰면서	뛰/VV + 면서/EC
경기해야	경기/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
것	것/NNB
같다"고	같/VA + 다/EC + "/SS + 고/JKQ
예상했다.	예상/NNG + 하/XSV + 았/EP + 다/EF + ./SF

여자부	여자부/NNG
1회전에서는	1/SN + 회전/NNB + 에서/JKB + 는/JX
4대	4/SN + 대/NNG
메이저대회	메이저/NNG + 대회/NNG
연속우승을	연속/NNG + 우승/NNG + 을/JKO
노리는	노리/VV + 는/ETM
세레나	세레나/NNP
윌리엄스(세계	윌리엄스/NNP + (/SS + 세계/NNG
1위)가	1/SN + 위/NNB + )/SS + 가/JKS
무명의	무/XPN + 명/NNG + 의/JKG
에밀	에밀/NNP
로이(프랑스·56위)에게	로이/NNP + (/SS + 프랑스/NNP + ·/SP + 56/SN + 위/NNB + )/SS + 에게/JKB
혼쭐이	혼쭐/NNG + 이/JKS
난	나/VV + ㄴ/ETM
끝에	끝/NNG + 에/JKB
2대1(3-6,	2/SN + 대/NNB + 1/SN + (/SS + 3/SN + -/SS + 6/SN + ,/SP
7-6,	7/SN + -/SS + 6/SN + ,/SP
7-5)로	7/SN + -/SS + 5/SN + )/SS + 로/JKB
힘겹게	힘겹/VA + 게/EC
역전승했다.	역전승/NNG + 하/XSV + 았/EP + 다/EF + ./SF

세레나는	세레나/NNP + 는/JX
1세트를	1/SN + 세트/NNG + 를/JKO
빼앗긴	빼앗기/VV + ㄴ/ETM
상태에서	상태/NNG + 에서/JKB
2세트	2/SN + 세트/NNG
타이브레이크까지	타이/NNG + 브레이크/NNG + 까지/JX
몰려	몰리/VV + 어/EC
'대이변'의	'/SS + 대/XPN + 이변/NNG + '/SS + 의/JKG
희생양이	희생/NNG + 양/NNG + 이/JKC
될	되/VV + ㄹ/ETM
뻔했지만	뻔/NNB + 하/XSA + 았/EP + 지만/EC
간신히	간신히/MAG
타이브레이크를	타이/NNG + 브레이크/NNG + 를/JKO
이겨	이기/VV + 어/EC
승부를	승부/NNG + 를/JKO
원점으로	원점/NNG + 으로/JKB
돌렸고	돌리/VV + 었/EP + 고/EC
3세트에서도	3/SN + 세트/NNG + 에서/JKB + 도/JX
접전	접전/NNG
끝에	끝/NNG + 에/JKB
7-5로	7/SN + -/SS + 5/SN + 로/JKB
이겼다.	이기/VV + 었/EP + 다/EF + ./SF

킴	킴/NNP
클레스터스(벨기에)와	클레스터스/NNP + (/SS + 벨기에/NNP + )/SS + 와/JC
마리	마리/NNP
피에르스(프랑스)	피에르스/NNP + (/SS + 프랑스/NNP + )/SS
등	등/NNB
강호들은	강호/NNG + 들/XSN + 은/JX
무난히	무난히/MAG
2회전에	2/SN + 회전/NNB + 에/JKB
안착했다.	안착/NNG + 하/XSV + 았/EP + 다/EF + ./SF

우지원과	우지원/NNP + 과/JC
정인교의	정인교/NNP + 의/JKG
'3점슛	'/SS + 3/SN + 점/NNB + 슛/NNG
마법'이	마법/NNG + '/SS + 이/JKS
모비스를	모비스/NNP + 를/JKO
4연패의	4/SN + 연패/NNG + 의/JKG
위기로부터	위기/NNG + 로부터/JKB
구해냈다.	구하/VV + 아/EC + 내/VX + 었/EP + 다/EF + ./SF

14일	14/SN + 일/NNB
서울	서울/NNP
잠실체육관에서	잠실체육관/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
모비스와	모비스/NNP + 와/JC
삼성의	삼성/NNP + 의/JKG
02~03	02/SN + ~/SO + 03/SN
애니콜	애니콜/NNG
프로농구	프로/NNG + 농구/NNG
