러시아의	러시아/NNP + 의/JKG
있는	있/VX + 는/ETM
폐타이어를	폐/XPN + 타이어/NNG + 를/JKO
재생할	재생/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
보통은	보통/NNG + 은/JX
수백도에서	수백/NR + 도/NNB + 에서/JKB
산소	산소/NNG
없이	없이/MAG
가열하지만	가열/NNG + 하/XSV + 지만/EC
이번에	이번/NNG + 에/JKB
소개되는	소개/NNG + 되/XSV + 는/ETM
기술은	기술/NNG + 은/JX
낮은	낮/VA + 은/ETM
온도에서	온도/NNG + 에서/JKB
적은	적/VA + 은/ETM
전력을	전력/NNG + 을/JKO
들이고도	들이/VV + 고/EC + 도/JX
폐타이어를	폐/XPN + 타이어/NNG + 를/JKO
특수처리하여	특수/NNG + 처리/NNG + 하/XSV + 아/EC
1천㎏의	1/SN + 천/NR + ㎏/SW + 의/JKG
타이어에서	타이어/NNG + 에서/JKB
6백㎏의	6/SN + 백/NR + ㎏/SW + 의/JKG
고무조각을	고무/NNG + 조각/NNG + 을/JKO
얻는다.	얻/VV + 는다/EF + ./SF

이	이/MM
고무조각은	고무/NNG + 조각/NNG + 은/JX
고무매트나	고무/NNG + 매트/NNG + 나/JC
운동시설	운동/NNG + 시설/NNG
바닥재로	바닥재/NNG + 로/JKB
쓴다.	쓰/VV + ㄴ다/EF + ./SF

자동차	자동차/NNG
타이어	타이어/NNG
생산효율을	생산/NNG + 효율/NNG + 을/JKO
대폭	대폭/MAG
높이는	높이/VV + 는/ETM
제조기술도	제조/NNG + 기술/NNG + 도/JX
같이	같이/MAG
들어왔다.	들어오/VV + 았/EP + 다/EF + ./SF

신소재분야에서도	신/XPN + 소재/NNG + 분야/NNG + 에서/JKB + 도/JX
흥미를	흥미/NNG + 를/JKO
끄는	끌/VV + 는/ETM
전시품들이	전시품/NNG + 들/XSN + 이/JKS
적지	적/VA + 지/EC
않다.	않/VX + 다/EF + ./SF

항공산업용	항공/NNG + 산업/NNG + 용/XSN
슈퍼알로이는	슈퍼알로이/NNG + 는/JX
기존	기존/NNG
알루미늄-리튬합금의	알루미늄/NNG + -/SS + 리튬/NNG + 합금/NNG + 의/JKG
조성이	조성/NNG + 이/JKC
알루미늄-마그네슘으로	알루미늄/NNG + -/SS + 마그네슘/NNG + 으로/JKB
바뀐	바뀌/VV + ㄴ/ETM
합금으로,	합금/NNG + 으로/JKB + ,/SP
내구성과	내구/NNG + 성/XSN + 과/JC
가공성이	가공/NNG + 성/XSN + 이/JKS
각각	각각/MAG
30%씩	30/SN + %/SW + 씩/XSN
향상됐다.	향상/NNG + 되/XSV + 었/EP + 다/EF + ./SF

전기전도율이	전기/NNG + 전도/NNG + 율/XSN + 이/JKS
15	15/SN
~	~/SO
20%	20/SN + %/SW
증가하는	증가/NNG + 하/XSV + 는/ETM
모노크리스탈	모노/NNP + 크리스탈/NNG
생산기술과	생산/NNG + 기술/NNG + 과/JKB
함께	함께/MAG
아크릴아미드를	아크릴아미드/NNG + 를/JKO
생산할	생산/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
미생물을	미생물/NNG + 을/JKO
촉매로	촉매/NNG + 로/JKB
사용하는	사용/NNG + 하/XSV + 는/ETM
기술도	기술/NNG + 도/JX
소개된다.	소개/NNG + 되/XSV + ㄴ다/EF + ./SF

전시회	전시회/NNG
주관을	주관/NNG + 을/JKO
맡은	맡/VV + 은/ETM
김은영	김은영/NNP
한국과학기술연구원장은	한국/NNP + 과학/NNG + 기술/NNG + 연구/NNG + 원장/NNG + 은/JX
"효율적인	"/SS + 효율/NNG + 적/XSN + 이/VCP + ㄴ/ETM
합작투자와	합작/NNG + 투자/NNG + 와/JC
기술	기술/NNG
이전의	이전/NNG + 의/JKG
열매가	열매/NNG + 가/JKS
맺기를	맺/VV + 기/ETN + 를/JKO
바란다"고	바라/VV + ㄴ다/EC + "/SS + 고/JKQ
강조했다.	강조/NNG + 하/XSV + 았/EP + 다/EF + ./SF

역사이래	역사/NNG + 이래/NNB
수많은	수많/VA + 은/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
얼핏	얼핏/MAG
보기엔	보/VV + 기에/EC + ㄴ/JX
간단한	간단/XR + 하/XSA + ㄴ/ETM
이	이/MM
질문에	질문/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
해답을	해답/NNG + 을/JKO
얻으려고	얻/VV + 으려고/EC
노력해	노력/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

고대인들은	고대인/NNG + 들/XSN + 은/JX
시간과	시간/NNG + 과/JC
공간을	공간/NNG + 을/JKO
자연	자연/NNG
현상을	현상/NNG + 을/JKO
관찰하는	관찰/NNG + 하/XSV + 는/ETM
데	데/NNB
필요한	필요/NNG + 하/XSA + ㄴ/ETM
하나의	하나/NR + 의/JKG
2차적인	2/SN + 차/NNB + 적/XSN + 이/VCP + ㄴ/ETM
개념으로	개념/NNG + 으로/JKB
생각했다.	생각/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
근대	근대/NNG
물리학의	물리학/NNG + 의/JKG
기틀을	기틀/NNG + 을/JKO
다진	다지/VV + ㄴ/ETM
뉴턴은	뉴턴/NNP + 은/JX
그	그/MM
유명한	유명/NNG + 하/XSA + ㄴ/ETM
'원론'에서,	'/SS + 원론/NNG + '/SS + 에서/JKB + ,/SP
시간과	시간/NNG + 과/JC
공간은	공간/NNG + 은/JX
'외부의	'/SS + 외부/NNG + 의/JKG
어떠한	어떠/XR + 하/XSA + ㄴ/ETM
것과	것/NNB + 과/JKB
무관하게	무관/XR + 하/XSA + 게/EC
서로	서로/MAG
독립적으로'	독립/NNG + 적/XSN + 으로/JKB + '/SS
존재하는	존재/NNG + 하/XSV + 는/ETM
1차적인	1/SN + 차/NNB + 적/XSN + 이/VCP + ㄴ/ETM
개념이라고	개념/NNG + 이/VCP + 라고/EC
주장했다.	주장/NNG + 하/XSV + 았/EP + 다/EF + ./SF

다시	다시/MAG
말해	말/NNG + 하/XSV + 아/EC
시간과	시간/NNG + 과/JC
공간은	공간/NNG + 은/JX
자연	자연/NNG
현상이	현상/NNG + 이/JKS
존재하기	존재/NNG + 하/XSV + 기/ETN
이전부터	이전/NNG + 부터/JX
이미	이미/MAG
존재하고	존재/NNG + 하/XSV + 고/EC
있었다는	있/VX + 었/EP + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이것이	이것/NP + 이/JKS
바로	바로/MAG
절대적인	절대/NNG + 적/XSN + 이/VCP + ㄴ/ETM
시공	시공/NNG
개념이다.	개념/NNG + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
이런	이런/MM
절대	절대/NNG
시공	시공/NNG
개념은	개념/NNG + 은/JX
20세기로	20/SN + 세기/NNG + 로/JKB
접어들면서	접어들/VV + 면서/EC
아인슈타인의	아인슈타인/NNP + 의/JKG
특수상대성이론에	특수/NNG + 상대성/NNG + 이론/NNG + 에/JKB
의해	의하/VV + 아/EC
여지없이	여지없이/MAG
무너지고	무너지/VV + 고/EC
말았다.	말/VX + 았/EP + 다/EF + ./SF

아인슈타인은	아인슈타인/NNP + 은/JX
시간과	시간/NNG + 과/JC
공간은	공간/NNG + 은/JX
서로	서로/MAG
독립된	독립/NNG + 되/XSV + ㄴ/ETM
개념이	개념/NNG + 이/JKC
아니라	아니/VCN + 라/EC
서로	서로/MAG
얽힌	얽히/VV + ㄴ/ETM
하나의	하나/NR + 의/JKG
개념이라고	개념/NNG + 이/VCP + 라고/EC
주장했던	주장/NNG + 하/XSV + 았/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

시간조차	시간/NNG + 조차/JX
상대적인	상대/NNG + 적/XSN + 이/VCP + ㄴ/ETM
이	이/MM
이론에	이론/NNG + 에/JKB
의하면	의하/VV + 면/EC
상식	상식/NNG
밖의	밖/NNG + 의/JKG
일들이	일/NNG + 들/XSN + 이/JKS
얼마든지	얼마/NNG + 이/VCP + 든지/EC
일어날	일어나/VV + ㄹ/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

사람의	사람/NNG + 의/JKG
수명조차	수명/NNG + 조차/JX
상대적이라고	상대/NNG + 적/XSN + 이/VCP + 라고/EC
이	이/MM
이론은	이론/NNG + 은/JX
주장한다.	주장/NNG + 하/XSV + ㄴ다/EF + ./SF

또	또/MAG
물질과	물질/NNG + 과/JC
에너지가	에너지/NNG + 가/JKS
동등하다고도	동등/NNG + 하/XSA + 다고/EC + 도/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

이런	이런/MM
주장들은	주장/NNG + 들/XSN + 은/JX
이론적인	이론/NNG + 적/XSN + 이/VCP + ㄴ/ETM
개념	개념/NNG
상의	상/NNG + 의/JKG
주장이	주장/NNG + 이/JKC
아니라	아니/VCN + 라/EC
실제로	실제로/MAG
이	이/MM
세상에서	세상/NNG + 에서/JKB
일어나고	일어나/VV + 고/EC
있는	있/VX + 는/ETM
일들을	일/NNG + 들/XSN + 을/JKO
말하고	말/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

물질과	물질/NNG + 과/JC
에너지가	에너지/NNG + 가/JKS
동등하기에	동등/NNG + 하/XSA + 기에/EC
원자력	원자력/NNG
발전이	발전/NNG + 이/JKS
가능하고,	가능/NNG + 하/XSA + 고/EC + ,/SP
물질을	물질/NNG + 을/JKO
이루고	이루/VV + 고/EC
있는	있/VX + 는/ETM
원자보다	원자/NNG + 보다/JKB
더	더/MAG
작은	작/VA + 은/ETM
소립자들의	소립자/NNG + 들/XSN + 의/JKG
수명은	수명/NNG + 은/JX
그	그/MM
속도에	속도/NNG + 에/JKB
따라	따르/VV + 아/EC
변한다는	변하/VV + ㄴ다는/ETM
것은	것/NNB + 은/JX
잘	잘/MAG
알려진	알리/VV + 어/EC + 지/VX + ㄴ/ETM
실험	실험/NNG
결과이기도	결과/NNG + 이/VCP + 기/ETN + 도/JX
하다.	하/VX + 다/EF + ./SF

그러나	그러나/MAJ
여기서	여기/NP + 서/JKB
한	한/MM
가지	가지/NNB
유의해야	유의/NNG + 하/XSV + 아야/EC
할	하/VX + ㄹ/ETM
사실은	사실/NNG + 은/JX
상대성	상대/NNG + 성/XSN
이론이란	이론/NNG + 이란/JX
시공	시공/NNG
개념의	개념/NNG + 의/JKG
상대성을	상대/NNG + 성/XSN + 을/JKO
주장하는	주장/NNG + 하/XSV + 는/ETM
것이지	것/NNB + 이/VCP + 지/EC
물리	물리/NNG
법칙의	법칙/NNG + 의/JKG
상대성을	상대/NNG + 성/XSN + 을/JKO
주장한	주장/NNG + 하/XSV + ㄴ/ETM
것이	것/NNB + 이/JKC
아니란	아니/VCN + 란/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

상대성이론이란	상대/NNG + 성/XSN + 이론/NNG + 이란/JX
물리	물리/NNG
법칙은	법칙/NNG + 은/JX
절대적임을	절대/NNG + 적/XSN + 이/VCP + ㅁ/ETN + 을/JKO
주장하는	주장/NNG + 하/XSV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
물리	물리/NNG
법칙의	법칙/NNG + 의/JKG
절대성을	절대/NNG + 성/XSN + 을/JKO
위해	위하/VV + 아/EC
바로	바로/MAG
시공	시공/NNG
개념의	개념/NNG + 의/JKG
상대성이	상대/NNG + 성/XSN + 이/JKS
필요하다는	필요/NNG + 하/XSA + 다는/ETM
것이	것/NNB + 이/JKS
상대성원리의	상대/NNG + 성/XSN + 원리/NNG + 의/JKG
본질이기도	본질/NNG + 이/VCP + 기/ETN + 도/JX
한	하/VX + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

시공	시공/NNG
개념을	개념/NNG + 을/JKO
이야기할	이야기/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
빼	빼/VV + 어/EC
놓을	놓/VX + 을/ETM
수	수/NNB
없는	없/VA + 는/ETM
것은	것/NNB + 은/JX
현대	현대/NNG
통일장이론과	통일/NNG + 장이론/NNG + 과/JC
우주론에서	우주/NNG + 론/XSN + 에서/JKB
나오는	나오/VV + 는/ETM
시공	시공/NNG
개념이다.	개념/NNG + 이/VCP + 다/EF + ./SF

고대	고대/NNG
중국에서는	중국/NNP + 에서/JKB + 는/JX
시간을	시간/NNG + 을/JKO
주,	주/NNG + ,/SP
공간을	공간/NNG + 을/JKO
우라고	우/NNG + 이/VCP + 라고/EC
일컬었다(왕고래금	일컫/VV + 었/EP + 다/EC + (/SS + 왕고래금/NNG
위지주	위지주/NNG
사방상하	사방/NNG + 상하/NNG
위지우).	위지우/NNG + )/SS + ./SF

즉	즉/MAG
시공을	시공/NNG + 을/JKO
바로	바로/MAG
우주라	우주/NNG + 이/VCP + 라/EC
불렀던	부르/VV + 었/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

이는	이/NP + 는/JX
시공	시공/NNG
개념이	개념/NNG + 이/JKS
우주론과	우주/NNG + 론/XSN + 과/JKB
불가분의	불/XPN + 가분/NNG + 의/JKG
관계에	관계/NNG + 에/JKB
있음을	있/VV + 음/ETN + 을/JKO
말해	말/NNG + 하/XSV + 아/EC
주는	주/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

사실	사실/MAG
우리는	우리/NP + 는/JX
우주와	우주/NNG + 와/JC
우주의	우주/NNG + 의/JKG
기원에	기원/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
이해	이해/NNG
없이는	없이/MAG + 는/JX
시간과	시간/NNG + 과/JC
공간에	공간/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
이야기를	이야기/NNG + 를/JKO
할	하/VV + ㄹ/ETM
수가	수/NNB + 가/JKS
없다.	없/VA + 다/EF + ./SF

그렇다면	그렇/VA + 다면/EC
우주론에서는	우주/NNG + 론/XSN + 에서/JKB + 는/JX
시공을	시공/NNG + 을/JKO
어떻게	어떻/VA + 게/EC
설명하고	설명/NNG + 하/XSV + 고/EC
있는가.	있/VX + 는가/EF + ./SF

뉴턴은	뉴턴/NNP + 은/JX
무한한	무한/NNG + 하/XSA + ㄴ/ETM
공간과	공간/NNG + 과/JC
영원한	영원/NNG + 하/XSA + ㄴ/ETM
시간에	시간/NNG + 에/JKB
바탕을	바탕/NNG + 을/JKO
둔	두/VV + ㄴ/ETM
우주론을	우주/NNG + 론/XSN + 을/JKO
믿었으며,	믿/VV + 었/EP + 으며/EC + ,/SP
아인슈타인은	아인슈타인/NNP + 은/JX
유한하면서	유한/NNG + 하/XSA + 면서/EC
끝이	끝/NNG + 이/JKS
없는	없/VA + 는/ETM
공간과	공간/NNG + 과/JC
영원한	영원/NNG + 하/XSA + ㄴ/ETM
시간에	시간/NNG + 에/JKB
바탕을	바탕/NNG + 을/JKO
둔	두/VV + ㄴ/ETM
우주론을	우주/NNG + 론/XSN + 을/JKO
제안했다.	제안/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
이런	이런/MM
우주론들은	우주/NNG + 론/XSN + 들/XSN + 은/JX
현대	현대/NNG
우주론의	우주/NNG + 론/XSN + 의/JKG
표준모형이라고	표준/NNG + 모형/NNG + 이/VCP + 라고/EC
부르는	부르/VV + 는/ETM
대폭발이론이	대/XPN + 폭발/NNG + 이론/NNG + 이/JKS
나오면서	나오/VV + 면서/EC
역사의	역사/NNG + 의/JKG
뒷전으로	뒷전/NNG + 으로/JKB
사라지고	사라지/VV + 고/EC
말았다.	말/VX + 았/EP + 다/EF + ./SF

뉴턴이나	뉴턴/NNP + 이나/JC
아인슈타인과	아인슈타인/NNP + 과/JKB
같은	같/VA + 은/ETM
천재들도	천재/NNG + 들/XSN + 도/JX
우주론에서는	우주/NNG + 론/XSN + 에서/JKB + 는/JX
완전	완전/NNG
실패했던	실패/NNG + 하/XSV + 았/EP + 던/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

아인슈타인이	아인슈타인/NNP + 이/JKS
자신의	자신/NNG + 의/JKG
우주론에	우주/NNG + 론/XSN + 에/JKB
대한	대하/VV + ㄴ/ETM
논문을	논문/NNG + 을/JKO
'일생	'/SS + 일생/NNG
최대의	최대/NNG + 의/JKG
실수'로	실수/NNG + '/SS + 로/JKB
인정하며	인정/NNG + 하/XSV + 며/EC
후회했다는	후회/NNG + 하/XSV + 았/EP + 다는/ETM
일화는	일화/NNG + 는/JX
유명하다.	유명/NNG + 하/XSA + 다/EF + ./SF

대폭발이론에	대/XPN + 폭발/NNG + 이론/NNG + 에/JKB
따르면	따르/VV + 면/EC
이	이/MM
우주는	우주/NNG + 는/JX
약	약/MM
1백	1/SN + 백/NR
50억년	50/SN + 억/NR + 년/NNB
이전에	이전/NNG + 에/JKB
하나의	하나/NR + 의/JKG
점이	점/NNG + 이/JKS
대폭발하여	대/XPN + 폭발/NNG + 하/XSV + 아/EC
생겨났고,	생겨나/VV + 았/EP + 고/EC + ,/SP
이	이/MM
대폭발의	대/XPN + 폭발/NNG + 의/JKG
결과로	결과/NNG + 로/JKB
아직도	아직/MAG + 도/JX
팽창하고	팽창/NNG + 하/XSV + 고/EC
있다고	있/VX + 다고/EC
한다.	하/VV + ㄴ다/EF + ./SF

그러므로	그러므로/MAJ
우주의	우주/NNG + 의/JKG
시간은	시간/NNG + 은/JX
영원한	영원/NNG + 하/XSA + ㄴ/ETM
것이	것/NNB + 이/JKC
아니라	아니/VCN + 라/EC
시작이	시작/NNG + 이/JKS
있었으며	있/VV + 었/EP + 으며/EC
우리가	우리/NP + 가/JKS
볼	보/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
우주	우주/NNG
공간의	공간/NNG + 의/JKG
크기	크기/NNG
또한	또한/MAG
유한하다는	유한/NNG + 하/XSA + 다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그러나	그러나/MAJ
대폭발이론도	대/XPN + 폭발/NNG + 이론/NNG + 도/JX
이	이/MM
우주를	우주/NNG + 를/JKO
완전히	완전히/MAG
설명하지는	설명/NNG + 하/XSV + 지/EC + 는/JX
못한다.	못하/VX + ㄴ다/EF + ./SF

이	이/MM
우주는	우주/NNG + 는/JX
유한한가	유한/NNG + 하/XSA + ㄴ가/EC
아니면	아니/VCN + 면/EC
무한한가.	무한/NNG + 하/XSA + ㄴ가/EF + ./SF

대폭발	대/XPN + 폭발/NNG
이전의	이전/NNG + 의/JKG
우주는	우주/NNG + 는/JX
어떤	어떤/MM
상태였을까.	상태/NNG + 이/VCP + 었/EP + 을까/EF + ./SF

아직도	아직/MAG + 도/JX
우리는	우리/NP + 는/JX
이런	이런/MM
의문에	의문/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
해답을	해답/NNG + 을/JKO
모르고	모르/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

영국의	영국/NNP + 의/JKG
스티븐	스티븐/NNP
호킹은	호킹/NNP + 은/JX
대폭발이	대/XPN + 폭발/NNG + 이/JKS
있기	있/VV + 기/ETN
이전의	이전/NNG + 의/JKG
이	이/MM
우주는	우주/NNG + 는/JX
시간개념이	시간/NNG + 개념/NNG + 이/JKC
없는	없/VA + 는/ETM
4차원적	4/SN + 차원/NNG + 적/XSN
공간이었을	공간/NNG + 이/VCP + 었/EP + 을/ETM
것이라고	것/NNB + 이/VCP + 라고/EC
주장하고	주장/NNG + 하/XSV + 고/EC
있지만	있/VX + 지만/EC
이	이/MM
또한	또한/MAG
확인할	확인/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
없는	없/VA + 는/ETM
하나의	하나/NR + 의/JKG
가설일	가설/NNG + 이/VCP + ㄹ/ETM
뿐이다.	뿐/NNB + 이/VCP + 다/EF + ./SF

현재	현재/MAG
우리가	우리/NP + 가/JKC
알기로는	알/VV + 기/ETN + 로/JKB + 는/JX
이	이/MM
자연계에는	자연/NNG + 계/XSN + 에/JKB + 는/JX
4	4/SN
개의	개/NNB + 의/JKG
힘이	힘/NNG + 이/JKS
존재한다.	존재/NNG + 하/XSV + ㄴ다/EF + ./SF

