15면	15/SN + 면/NNG
올해에도	올해/NNG + 에/JKB + 도/JX
그대로	그대로/MAG
이어질	이어지/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

수도권지역에서는	수도/NNG + 권/XSN + 지역/NNG + 에서/JKB + 는/JX
용인	용인/NNP
등을	등/NNB + 을/JKO
중심으로	중심/NNG + 으로/JKB
거래가	거래/NNG + 가/JKS
활기를	활기/NNG + 를/JKO
띠게	띠/VV + 게/EC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

단기매매가	단기/NNG + 매매/NNG + 가/JKS
가능하고,	가능/NNG + 하/XSA + 고/EC + ,/SP
쉽게	쉽/VA + 게/EC
사고	사/VV + 고/EC
팔	팔/VV
수	수/NNB
있는	있/VV + 는/ETM
분양권이	분양/NNG + 권/XSN + 이/JKS
각광받을	각광/NNG + 받/VV + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

개발	개발/NNG
가능한	가능/NNG + 하/XSA + ㄴ/ETM
땅	땅/NNG
사두는	사/VV + 아/EC + 두/VX + 는/ETM
'테마투자'를…	'/SS + 테마/NNG + 투자/NNG + '/SS + 를/JKO + …/SE

2000년	2000/SN + 년/NNB
토지시장에는	토지/NNG + 시장/NNG + 에/JKB + 는/JX
'유효투자'나	'/SS + 유효/NNG + 투자/NNG + '/SS + 나/JC
'테마투자'개념이	'/SS + 테마/NNG + 투자/NNG + '/SS + 개념/NNG + 이/JKS
확고하게	확고/XR + 하/XSA + 게/EC
뿌리를	뿌리/NNG + 를/JKO
내릴	내리/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

직접적으로	직접/NNG + 적/XSN + 으로/JKB
효용을	효용/NNG + 을/JKO
얻거나	얻/VV + 거나/EC
구체적으로	구체/NNG + 적/XSN + 으로/JKB
개발이	개발/NNG + 이/JKS
가능해야	가능/NNG + 하/XSA + 아야/EC
토지거래가	토지/NNG + 거래/NNG + 가/JKS
이루어지는	이루어지/VV + 는/ETM
선진국형	선진국/NNG + 형/XSN
현상을	현상/NNG + 을/JKO
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

이는	이/NP + 는/JX
곧	곧/MAG
"개발될	"/SS + 개발/NNG + 되/XSV + ㄹ/ETM
땅은	땅/NNG + 은/JX
오르고,	오르/VV + 고/EC + ,/SP
그렇지	그렇/VA + 지/EC
못한	못하/VX + ㄴ/ETM
땅은	땅/NNG + 은/JX
인기가	인기/NNG + 가/JKS
없다"란	없/VA + 다/EF + "/SS + 란/ETM
얘기와	얘기/NNG + 와/JKB
같다.	같/VA + 다/EF + ./SF

기업들도	기업/NNG + 들/XSN + 도/JX
자금부담	자금/NNG + 부담/NNG
때문에	때문/NNB + 에/JKB
대량	대량/NNG
매입은	매입/NNG + 은/JX
어려울	어렵/VA + ㄹ/ETM
전망.	전망/NNG + ./SF

반면	반면/NNG
개인투자자들의	개인/NNG + 투자자/NNG + 들/XSN + 의/JKG
토지매입	토지/NNG + 매입/NNG
심리가	심리/NNG + 가/JKS
다소	다소/MAG
풀려	풀리/VV + 어/EC
소폭의	소폭/NNG + 의/JKG
가격상승은	가격/NNG + 상승/NNG + 은/JX
예상되고	예상/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

현재	현재/MAG
서울인근의	서울/NNP + 인근/NNG + 의/JKG
전원주택이나	전원주택/NNG + 이나/JC
위락시설로	위락/NNG + 시설/NNG + 로/JKB
개발할	개발/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
준농림지가격이	준/XPN + 농림/NNG + 지/NNG + 가격/NNG + 이/JKS
지역에	지역/NNG + 에/JKB
따라	따르/VV + 아/EC
큰	크/VA + ㄴ/ETM
차이를	차이/NNG + 를/JKO
보이고	보이/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

전반적인	전반/NNG + 적/XSN + 이/VCP + ㄴ/ETM
거래활성화와	거래/NNG + 활성/NNG + 화/XSN + 와/JKB
함께	함께/MAG
전원주택지를	전원/NNG + 주택지/NNG + 를/JKO
중심으로	중심/NNG + 으로/JKB
개인투자자들의	개인/NNG + 투자자/NNG + 들/XSN + 의/JKG
소규모	소/XPN + 규모/NNG
거래가	거래/NNG + 가/JKS
증가할	증가/NNG + 하/XSV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상되지만,	예상/NNG + 되/XSV + 지만/EC + ,/SP
그	그/MM
폭은	폭/NNG + 은/JX
크지	크/VA + 지/EC
않을	않/VX + 을/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

서울아파트의	서울/NNP + 아파트/NNG + 의/JKG
경우	경우/NNG
연초가	연초/NNG + 가/JKS
관심거리다.	관심거리/NNG + 이/VCP + 다/EF + ./SF

전셋값이	전셋값/NNG + 이/JKS
급상승하고	급상승/NNG + 하/XSV + 고/EC
상반기	상반기/NNG
중	중/NNB
재개발-재건축이	재/XPN + 개발/NNG + -/SS + 재/XPN + 건축/NNG + 이/JKS
본격화하면	본격/NNG + 화/XSN + 하/XSV + 면/EC
전셋값이	전셋값/NNG + 이/JKS
크게	크/VA + 게/EC
오를	오르/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
보인다.	보이/VV + ㄴ다/EF + ./SF

전세가	전세/NNG + 가/JKS
상승이	상승/NNG + 이/JKS
이어지면	이어지/VV + 면/EC
이를	이/NP + 를/JKO
바탕으로	바탕/NNG + 으로/JKB
매매가도	매매/NNG + 가/XSN + 도/JX
올라갈	올라가/VV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
높다.	높/VA + 다/EF + ./SF

서울	서울/NNP
지하철	지하철/NNG
6,	6/SN + ,/SP
7호선과	7/SN + 호/NNB + 선/NNG + 과/JC
분당선	분당선/NNP
개통도	개통/NNG + 도/JX
눈앞에	눈앞/NNG + 에/JKB
있어	있/VV + 어/EC
매매가	매매/NNG + 가/JKS
상승구도는	상승/NNG + 구도/NNG + 는/JX
이어질	이어지/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

상승요인으로는	상승/NNG + 요인/NNG + 으로/JKB + 는/JX
분양가	분양/NNG + 가/XSN
오름세,	오름세/NNG + ,/SP
기존	기존/NNG
주택	주택/NNG
매매-전세값	매매/NNG + -/SS + 전세/NNG + 값/NNG
상승,	상승/NNG + ,/SP
금리	금리/NNG
하향	하향/NNG
안정세,	안정세/NNG + ,/SP
총선	총선/NNG
영향,	영향/NNG + ,/SP
주식시장	주식/NNG + 시장/NNG
이탈자금	이탈/NNG + 자금/NNG
유입,	유입/NNG + ,/SP
구매력	구매력/NNG
확대	확대/NNG
등을	등/NNB + 을/JKO
꼽을	꼽/VV + 을/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

'시장양극화	'/SS + 시장/NNG + 양극/NNG + 화/XSN
현상'은	현상/NNG + '/SS + 은/JX
지난해보다	지난해/NNG + 보다/JKB
심해질	심하/VA + 아/EC + 지/VX + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

수도권	수도/NNG + 권/XSN
지역은	지역/NNG + 은/JX
아파트값	아파트/NNG + 값/NNG
상승세가	상승세/NNG + 가/JKS
계속되겠지만	계속/NNG + 되/XSV + 겠/EP + 지만/EC
지방은	지방/NNG + 은/JX
주택공급이	주택/NNG + 공급/NNG + 이/JKS
과다할	과다/NNG + 하/XSA + ㄹ/ETM
정도로	정도/NNG + 로/JKB
충분한	충분/XR + 하/XSA + ㄴ/ETM
데다	데/NNB + 다/JX
투자성이	투자/NNG + 성/XSN + 이/JKS
없어	없/VA + 어/EC
보합이나	보합/NNG + 이나/JC
값이	값/NNG + 이/JKS
떨어질	떨어지/VV + ㄹ/ETM
공산이	공산/NNG + 이/JKS
크다.	크/VA + 다/EF + ./SF

2000년	2000/SN + 년/NNB
법원경매시장은	법원/NNG + 경매/NNG + 시장/NNG + 은/JX
다소	다소/MAG
과열양상을	과열/NNG + 양상/NNG + 을/JKO
보일	보이/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

우선	우선/MAG
부실채권	부실/NNG + 채권/NNG
감소와	감소/NNG + 와/JC
경기회복세로	경기/NNG + 회복세/NNG + 로/JKB
물량공급이	물량/NNG + 공급/NNG + 이/JKS
지난해보다	지난해/NNG + 보다/JKB
줄어들	줄어들/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

낙찰가율은	낙찰/NNG + 가/XSN + 율/XSN + 은/JX
아파트뿐	아파트/NNG + 뿐/JX
아니라	아니/VCN + 라/EC
단독주택	단독/NNG + 주택/NNG
연립주택	연립/NNG + 주택/NNG
등에도	등/NNB + 에/JKB + 도/JX
참여자가	참여자/NNG + 가/JKS
늘	늘/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
보여	보이/VV + 어/EC
다소	다소/MAG
올라갈	올라가/VV + ㄹ/ETM
것이	것/NNB + 이/JKS
예상된다.	예상/NNG + 되/XSV + ㄴ다/EF + ./SF

수도권을	수도/NNG + 권/XSN + 을/JKO
중심으로	중심/NNG + 으로/JKB
한	하/VV + ㄴ/ETM
부동산시장이	부동산/NNG + 시장/NNG + 이/JKS
점차	점차/MAG
회복돼	회복/NNG + 되/XSV + 어/EC
IMF	IMF/SL
이전	이전/NNG
수준으로	수준/NNG + 으로/JKB
도달하게	도달/NNG + 하/XSV + 게/EC
되는	되/VV + 는/ETM
호재	호재/NNG
요인도	요인/NNG + 도/JX
예상되는데	예상/NNG + 되/XSV + 는데/EC
이처럼	이/NP + 처럼/JKB
일반매매시장이	일반/NNG + 매매/NNG + 시장/NNG + 이/JKS
강세를	강세/NNG + 를/JKO
보이게	보이/VV + 게/EC
되면	되/VV + 면/EC
법원경매시장도	법원/NNG + 경매/NNG + 시장/NNG + 도/JX
덩달아	덩달/VV + 아/EC
호조를	호조/NNG + 를/JKO
보인다.	보이/VV + ㄴ다/EF + ./SF

상가는	상가/NNG + 는/JX
실물경기	실물/NNG + 경기/NNG
회복속도에	회복/NNG + 속도/NNG + 에/JKB
따라	따르/VV + 아/EC
달라질	달라지/VV + ㄹ/ETM
수	수/NNB
있으나	있/VV + 으나/EC
지난해보다는	지난해/NNG + 보다/JKB + 는/JX
한층	한층/MAG
나아질	나아지/VV + ㄹ/ETM
전망.	전망/NNG + ./SF

소득수준이	소득/NNG + 수준/NNG + 이/JKS
점차	점차/MAG
회복되면	회복/NNG + 되/XSV + 면/EC
소비심리도	소비/NNG + 심리/NNG + 도/JX
풀릴	풀리/VV + ㄹ/ETM
것이고	것/NNB + 이/VCP + 고/EC
상가경기도	상가/NNG + 경기/NNG + 도/JX
점차적으로	점차/MAG + 적/XSN + 으로/JKB
살아날	살아나/VV + ㄹ/ETM
것이기	것/NNB + 이/VCP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

70면	70/SN + 면/NNG
45판	45/SN + 판/NNB
2021자	2021/SN + 자/NNG

2000년대에는	2000/SN + 년대/NNB + 에/JKB + 는/JX
어떤	어떤/MM
직업이	직업/NNG + 이/JKS
뜰까.	뜨/VV + ㄹ까/EF + ./SF

사회의	사회/NNG + 의/JKG
변화	변화/NNG
속도가	속도/NNG + 가/JKS
빨라지면서	빠르/VA + 아/EC + 지/VX + 면서/EC
불과	불과/MAG
몇	몇/MM
해	해/NNG
전까지	전/NNG + 까지/JX
각광받던	각광/NNG + 받/VV + 던/ETM
직업이	직업/NNG + 이/JKS
사라지고	사라지/VV + 고/EC
새로운	새롭/VA + ㄴ/ETM
직업이	직업/NNG + 이/JKS
나타나는	나타나/VV + 는/ETM
시대를	시대/NNG + 를/JKO
맞아	맞/VV + 아/EC
직업	직업/NNG
선택의	선택/NNG + 의/JKG
중요성이	중요/NNG + 성/XSN + 이/JKS
더해지고	더/MAG + 하/XSV + 아/EC + 지/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

미래	미래/NNG
직업과	직업/NNG + 과/JKB
관련된	관련/NNG + 되/XSV + ㄴ/ETM
연구자료를	연구/NNG + 자료/NNG + 를/JKO
낸	내/VV + ㄴ/ETM
노동부	노동부/NNG
중앙고용정보관리소	중앙/NNG + 고용/NNG + 정보/NNG + 관리소/NNG
책임연구원	책임/NNG + 연구원/NNG
박천수(박천수)	박천수/NNP + (/SS + 박천수/NNP + )/SS
박사는	박사/NNG + 는/JX
"미국에서	"/SS + 미국/NNP + 에서/JKB
고용이	고용/NNG + 이/JKS
가장	가장/MAG
많이	많이/MAG
늘고	늘/VV + 고/EC
있는	있/VX + 는/ETM
직종은	직종/NNG + 은/JX
두말할	두말/NNG + 하/XSV + ㄹ/ETM
것	것/NNB
없이	없이/MAG
정보통신	정보/NNG + 통신/NNG
분야지만	분야/NNG + 이/VCP + 지만/EC
실업자가	실업자/NNG + 가/JKS
가장	가장/MAG
많이	많이/MAG
생겨나고	생겨나/VV + 고/EC
있는	있/VX + 는/ETM
직종	직종/NNG
역시	역시/MAG
정보통신	정보/NNG + 통신/NNG
분야"라며	분야/NNG + "/SS + 라며/EC
"이는	"/SS + 이/NP + 는/JX
기술변화	기술/NNG + 변화/NNG
속도가	속도/NNG + 가/JKS
너무	너무/MAG
빠르기	빠르/VA + 기/ETN
때문"이라고	때문/NNB + "/SS + 이/VCP + 라고/EC
지적한다.	지적/NNG + 하/XSV + ㄴ다/EF + ./SF

박	박/NNP
박사는	박사/NNG + 는/JX
또	또/MAG
"미래	"/SS + 미래/NNG
사회는	사회/NNG + 는/JX
물리적인	물리/NNG + 적/XSN + 이/VCP + ㄴ/ETM
힘보다는	힘/NNG + 보다/JKB + 는/JX
소프트하고	소프트/NNG + 하/XSA + 고/EC
섬세한	섬세/XR + 하/XSA + ㄴ/ETM
마인드가	마인드/NNG + 가/JKS
필요해지는	필요/NNG + 하/XSA + 아/EC + 지/VX + 는/ETM
만큼	만큼/NNB
여성	여성/NNG
고용이	고용/NNG + 이/JKS
상대적으로	상대/NNG + 적/XSN + 으로/JKB
늘어날	늘어나/VV + ㄹ/ETM
것이고	것/NNB + 이/VCP + 고/EC
여성인력의	여성/NNG + 인력/NNG + 의/JKG
활용방법에	활용/NNG + 방법/NNG + 에/JKB
따라	따르/VV + 아/EC
국가경쟁력이	국가/NNG + 경쟁력/NNG + 이/JKS
결정될	결정/NNG + 되/XSV + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
전망한다.	전망/NNG + 하/XSV + ㄴ다/EF + ./SF

중앙고용정보관리소의	중앙/NNG + 고용/NNG + 정보/NNG + 관리소/NNG + 의/JKG
연구자료를	연구/NNG + 자료/NNG + 를/JKO
토대로	토대/NNG + 로/JKB
21세기에	21/SN + 세기/NNG + 에/JKB
각광받을	각광/NNG + 받/VV + 을/ETM
직업들을	직업/NNG + 들/XSN + 을/JKO
알아본다.	알아보/VV + ㄴ다/EF + ./SF

◆신소재	◆/SW + 신/XPN + 소재/NNG
연구	연구/NNG
개발자=신소재는	개발자/NNG + =/SW + 신/XPN + 소재/NNG + 는/JX
모든	모든/MM
상품의	상품/NNG + 의/JKG
외형을	외형/NNG + 을/JKO
규정하고,	규정/NNG + 하/XSV + 고/EC + ,/SP
나아가	나아가/VV + 아/EC
새로운	새롭/VA + ㄴ/ETM
상품을	상품/NNG + 을/JKO
탄생시킬	탄생/NNG + 시키/XSV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
점에서	점/NNG + 에서/JKB
산업발전에	산업/NNG + 발전/NNG + 에/JKB
필수	필수/NNG
불가결한	불가결/NNG + 하/XSA + ㄴ/ETM
요소다.	요소/NNG + 이/VCP + 다/EF + ./SF

◆컴퓨터	◆/SW + 컴퓨터/NNG
네트워킹	네트워킹/NNG
전문가=미래의	전문가/NNG + =/SW + 미래/NNG + 의/JKG
컴퓨터	컴퓨터/NNG
네트워킹은	네트워킹/NNG + 은/JX
컴퓨터	컴퓨터/NNG
사이의	사이/NNG + 의/JKG
연결에서	연결/NNG + 에서/JKB
벗어나	벗어나/VV + 아/EC
컴퓨터와	컴퓨터/NNG + 와/JC
자동차,	자동차/NNG + ,/SP
난방,	난방/NNG + ,/SP
조명장치	조명/NNG + 장치/NNG
등을	등/NNB + 을/JKO
연결하는	연결/NNG + 하/XSV + 는/ETM
방향으로	방향/NNG + 으로/JKB
나아갈	나아가/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

◆사회문제	◆/SW + 사회/NNG + 문제/NNG
분석가=미래에는	분석가/NNG + =/SW + 미래/NNG + 에/JKB + 는/JX
정부의	정부/NNG + 의/JKG
대민(대민)행정	대민/NNG + (/SS + 대민/NNG + )/SS + 행정/NNG
업무가	업무/NNG + 가/JKS
대부분	대부분/NNG
민간에게	민간/NNG + 에게/JKB
이양되고	이양/NNG + 되/XSV + 고/EC
수효가	수효/NNG + 가/JKS
줄어든	줄어들/VV + ㄴ/ETM
공무원들은	공무원/NNG + 들/XSN + 은/JX
사회문제	사회/NNG + 문제/NNG
해결과	해결/NNG + 과/JC
사회발전에	사회/NNG + 발전/NNG + 에/JKB
필요한	필요/NNG + 하/XSA + ㄴ/ETM
연구분석에	연구/NNG + 분석/NNG + 에/JKB
전념하게	전념/NNG + 하/XSV + 게/EC
될	되/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상된다.	예상/NNG + 되/XSV + ㄴ다/EF + ./SF

이들은	이/NP + 들/XSN + 은/JX
사회의	사회/NNG + 의/JKG
핵심계층을	핵심/NNG + 계층/NNG + 을/JKO
형성하면서	형성/NNG + 하/XSV + 면서/EC
이들의	이/NP + 들/XSN + 의/JKG
분석력에	분석력/NNG + 에/JKB
따라	따르/VV + 아/EC
국가의	국가/NNG + 의/JKG
빈부(빈부)가	빈부/NNG + (/SS + 빈부/NNG + )/SS + 가/JKS
결정될	결정/NNG + 되/XSV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

◆리눅스	◆/SW + 리눅스/NNG
전문가=현재	전문가/NNG + =/SW + 현재/MAG
컴퓨터	컴퓨터/NNG
운영체제로	운영/NNG + 체제/NNG + 로/JKB
널리	널리/MAG
사용되고	사용/NNG + 되/XSV + 고/EC
있는	있/VX + 는/ETM
윈도	윈도/NNG
대신	대신/NNG
가까운	가깝/VA + ㄴ/ETM
미래에는	미래/NNG + 에/JKB + 는/JX
새로운	새롭/VA + ㄴ/ETM
운영체제인	운영/NNG + 체제/NNG + 이/VCP + ㄴ/ETM
리눅스가	리눅스/NNG + 가/JKS
확대될	확대/NNG + 되/XSV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
리눅스를	리눅스/NNG + 를/JKO
미리	미리/MAG
배워두면	배우/VV + 어/EC + 두/VX + 면/EC
머지않아	머지않/VA + 아/EC
효과를	효과/NNG + 를/JKO
볼	보/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상된다.	예상/NNG + 되/XSV + ㄴ다/EF + ./SF

◆센서계측	◆/SW + 센서/NNG + 계측/NNG
기술자=탑승객이	기술자/NNG + =/SW + 탑승객/NNG + 이/JKS
원하는	원하/VV + 는/ETM
층에	층/NNG + 에/JKB
멈추는	멈추/VV + 는/ETM
엘리베이터,	엘리베이터/NNG + ,/SP
주변이	주변/NNG + 이/JKS
어두워지면	어둡/VA + 어/EC + 지/VX + 면/EC
저절로	저절로/MAG
들어오는	들어오/VV + 는/ETM
가로등,	가로등/NNG + ,/SP
일정	일정/NNG
온도	온도/NNG
이하로	이하/NNG + 로/JKB
내려가면	내려가/VV + 면/EC
가동하는	가동/NNG + 하/XSV + 는/ETM
보일러….	보일러/NNG + …/SE + ./SF

이들은	이/NP + 들/XSN + 은/JX
모두	모두/MAG
센서라는	센서/NNG + 이/VCP + 라는/ETM
공통된	공통/NNG + 되/XSV + ㄴ/ETM
기술을	기술/NNG + 을/JKO
기초로	기초/NNG + 로/JKB
작동하는	작동/NNG + 하/XSV + 는/ETM
